,year,count,repo
0,2011,1,figshare_subset
1,2012,1,figshare_subset
2,2013,10,figshare_subset
3,2014,16,figshare_subset
4,2015,467,figshare_subset
5,2016,866,figshare_subset
6,2017,442,figshare_subset
7,2018,1089,figshare_subset
8,2019,1582,figshare_subset
9,2020,2470,figshare_subset
10,2021,3403,figshare_subset
