,year,count,repo
0,2008,1,dataverse_datasets
1,2011,1,dataverse_datasets
2,2012,2,dataverse_datasets
3,2013,1,dataverse_datasets
4,2014,3,dataverse_datasets
5,2015,11,dataverse_datasets
6,2016,14,dataverse_datasets
7,2017,11,dataverse_datasets
8,2018,32,dataverse_datasets
9,2019,37,dataverse_datasets
10,2020,65,dataverse_datasets
11,2021,91,dataverse_datasets
